person,years,factoid_lons,factoid_lats
"Uhrich, Michael.","['1805', '1800']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
Van Dam.,['1743'],['-73.59901'],['41.92815']
"Van Der Merck, Jacobus.","['1749', '1753', '1753', '1753', '1753', '1753', '1752', '1752', '1752']","['-78.73031', '-76.55885', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.78897', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173']"
"Van Der Merk, Jacobus (""Kobus""); Bethlehem.",['1748'],['-78.73031'],['40.86173']
"Van Erd, Adam; Christiansbrunn.","['1752', '1752', '1753', '1755']","['-81.43428', '-78.73031', '-81.43428', '-81.43428']","['40.3584', '40.86173', '40.3584', '40.3584']"
"Van Vleck, Jacob, minister; Bethlehem and Nazareth.",['1803'],['-78.73031'],['40.86173']
"Van Vleck, Jacob.","['1803', '1800', '1800']","['-73.26373', '-74.32432', '-74.32432']","['41.14121', '41.40204', '41.40204']"
"Van Vleck, Jacob; Bethlehem.",['1800'],['-76.40302'],['39.94677']
"Verbeek, Johannes Renatus, member, Unity Elders' Conference.",['1806'],['-78.73031'],['40.86173']
"Verbeek, Johannes Renatus.",['1806'],['-89.12368'],['37.13838']
"Verdriess, Hartmann; Bethlehem.","['1749', '1749', '1749', '1749']","['-78.73031', '-81.43428', '-78.73031', '-81.43428']","['40.86173', '40.3584', '40.86173', '40.3584']"
"Vetter, (al. ""Fetter""), Jacob; Oley, Pa.","['1747', '1747', '1747', '1749']","['-78.73031', '-78.73031', '-81.43428', '-81.43428']","['40.86173', '40.86173', '40.3584', '40.3584']"
"Vetter, Jacob.","['1749', '1749', '1749', '1749']","['-78.73031', '-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.86173', '40.3584', '40.86173']"
"Vetter, Jacob; Bethlehem, Pa.",['1745'],['-73.59901'],['41.92815']
"Volck, Andreas.","['1753', '1748', '1749', '1755']","['-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584']"
"Volck, Carl.","['1750', '1752', '1752', '1748']","['-81.43428', '-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.3584']"
"Volck, Carl; Allemaengel.",['1747'],['-81.43428'],['40.3584']
"Volck, Dorothea, m. n. Dewis, w. of Georg Volck.",['1752'],['-81.43428'],['40.3584']
"Volck, Georg; Allemaengel.",['1747'],['-81.43428'],['40.3584']
"Volck, Jacob, Jun., son of Carl and Catharina (Harry), Volck; Allemaengel.",['1752'],['-81.43428'],['40.3584']
"Volck, Jacob.","['1752', '1754']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Volck, Jacob; Allemaengel.",['1750'],['-81.43428'],['40.3584']
"Wade, John.",['1751'],['-81.43428'],['40.3584']
"Wade, John; Bethlehem, Pa.","['1750', '1750']","['-72.66648', '-73.32039']","['41.66704', '42.28759']"
"Wade, John; Bethlehem.","['1747', '1747', '1749']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Wahnert, David.",['1754'],['-81.43428'],['40.3584']
"Wahnert, David; Bethlehem.","['1752', '1753', '1749']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Walther, Georg; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
"Walton, Asa; Gnadenhutten.",['1800'],['-74.32432'],['41.40204']
"Walton, Boaz, millwright; Gnadenhutten.","['1800', '1806']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Walton, Boaz; Gnadenhutten.",['1821'],['-74.32432'],['41.40204']
"Walton, Jesse.",['1805'],['-74.32432'],['41.40204']
"Warner, Daniel; Beersheba.","['1804', '1812']","['-53.21478', '-74.32432']","['47.49989', '41.40204']"
"Warner, Daniel; Sichem, New York (""Wanerth"").",['1761'],['-78.73031'],['40.86173']
"Warner, Ebenezer.",['1804'],['-53.21478'],['47.49989']
"Warner, Ezra.","['1800', '1800']","['-74.32432', '-53.21478']","['41.40204', '47.49989']"
"Warner, Ezra; Gnadenhutten.","['1799', '1799', '1799']","['-74.32432', '-81.43428', '-74.32432']","['41.40204', '40.3584', '41.40204']"
"Warner, Jonathan.","['1799', '1800']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Warner, Magdalena.",['1801'],['-74.32432'],['41.40204']
"Warner, Peter; Gnadenhutten.",['1799'],['-74.32432'],['41.40204']
"Warner, Sarah.",['1802'],['-74.32432'],['41.40204']
"Watteville, Benigna, m. n. Zinzendorf, w. of Johannes Von Watteville.","['1748', '1748', '1749', '1748']","['-86.98636', '-81.43428', '-81.43428', '-81.43428']","['45.27262', '40.3584', '40.3584', '40.3584']"
"Watteville, Benigna.","['1749', '1749', '1754', '1748', '1749']","['-78.73031', '-81.43428', '-73.59901', '-78.73031', '-81.43428']","['40.86173', '40.3584', '41.92815', '40.86173', '40.3584']"
"Watteville, Johannes Von, bishop.","['1767', '1785', '1786']","['-81.29975', '-75.16362', '-78.73031']","['43.08339', '39.95238', '40.86173']"
"Watteville, Johannes de, Moravian bishop.",['1775'],['11.88261'],['51.96711']
"Watteville, Johannes.","['1749', '1749', '1749', '1753', '1753', '1753', '1753', '1749', '1749', '1753', '1754', '1750', '1750', '1748', '1748', '1749']","['-81.43428', '-81.43428', '-81.43428', '-40.0', '-40.0', '-40.0', '-81.43428', '-86.98636', '-75.4999', '-40.0', '-40.0', '-105.40102', '-81.43428', '-86.98636', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584', '72.0', '72.0', '72.0', '40.3584', '45.27262', '43.00035', '72.0', '72.0', '53.05006', '40.3584', '45.27262', '40.3584', '40.3584']"
"Watts, Methodist minister.",['1808'],['-74.32432'],['41.40204']
"Wayne, Anthony, general.","['1794', '1794', '1796']","['-83.45993', '-83.45993', '-83.04575']","['41.69949', '41.69949', '42.33143']"
"Weber, Andreas, Bethlehem.","['1754', '1754']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Weber, Friedrich; Bethlehem.","['1755', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Weber, Georg, missionary.","['1748', '1748']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Weber, Georg.","['1752', '1753', '1753']","['-76.00492', '-81.43428', '-86.98636']","['41.20536', '40.3584', '45.27262']"
"Wedsted, Christian.","['1754', '1755', '1755']","['-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173']"
"Wedsted, Christian; Bethlehem.","['1754', '1754']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Weidel, Adam; Bethlehem.",['1752'],['-81.43428'],['40.3584']
"Weigand, John, Moravian.","['1787', '1787', '1787', '1787', '1787', '1783', '1783']","['-76.40302', '-82.18404', '-80.99973', '-88.03679', '-76.40302', '-78.93286', '-78.73031']","['39.94677', '41.47282', '42.2501', '46.90992', '39.94677', '42.90012', '40.86173']"
"Weigand, John.","['1783', '1783']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Weigend, John; Bethlehem, Pa.",['1781'],['-79.99589'],['40.44062']
Weinland.,['1806'],['-81.43428'],['40.3584']
"Weiser, Conrad.","['1743', '1754', '1798', '1755', '1755', '1755', '1742', '1747']","['-73.59901', '-76.55885', '-105.63666', '-76.55885', '-76.55885', '-52.77995', '-76.55885', '-76.55885']","['41.92815', '40.78897', '41.47747', '40.78897', '40.78897', '47.23879', '40.78897', '40.78897']"
"Weiser, Philip (probably), s. of Conrad Weiser.",['1746'],['-73.59901'],['41.92815']
"Weiss, Jacob;. Philadelphia.","['1763', '1763']","['-75.22907', '-75.22907']","['39.88539', '39.88539']"
"Wendower, Mary, m. n. Peterse, widow of Hercules Wendower, N.Y. (""Wendefort"").",['1744'],['-78.73031'],['40.86173']
"Wesa, Peter.","['1752', '1752', '1752', '1754', '1755', '1755', '1753', '1753', '1754', '1755', '1755', '1755', '1755', '1753', '1753', '1753']","['-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-74.56316', '-74.56316', '-78.73031', '-76.55885', '-77.66638', '-78.73031', '-78.73031']","['40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '39.71334', '39.71334', '40.86173', '40.78897', '40.12453', '40.86173', '40.86173']"
"Wesa, Peter; Bethlehem.","['1749', '1749']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Westmann, Johann Erichson.","['1750', '1751']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Westmann, Johann Erickson.","['1747', '1747', '1748', '1748', '1748', '1748', '1748']","['-81.43428', '-81.43428', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173', '40.3584', '40.86173', '40.3584', '40.86173']"
"Wetterhold, Jacob.",['1764'],['-78.73031'],['40.86173']
"Wezel, John.","['1752', '1752']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Whitefield, George.","['1746', '1764', '1743', '1743']","['-75.16362', '-75.16362', '-105.40102', '-105.40102']","['39.95238', '39.95238', '53.05006', '53.05006']"
"Willard, Mary.",['1814'],['-74.32432'],['41.40204']
"Williams, Isaac, trader.",['1783'],['-81.43428'],['40.3584']
"Williams, Isaac.",['1798'],['-83.00269'],['41.44783']
"Williamson, Charles, capt.","['1798', '1798']","['-73.95347', '-77.85278']","['40.71427', '42.97312']"
"Williamson, David, colonel (""Williams"").",['1782'],['-81.43428'],['40.3584']
"Williar, Philip; Graceham.",['1805'],['-74.32432'],['41.40204']
"Willson, U.S. government employee; Philadelphia.",['1800'],['-86.98636'],['45.27262']
"Wilson (Willson), trader.","['1788', '1788']","['-82.70796', '-76.40302']","['41.44894', '39.94677']"
"Wilson, justice.",['1746'],['-73.59901'],['41.92815']
"Wilson, justice; Dutchess Co., New York, (""Wiltson"").","['1744', '1745']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
Wilson.,"['1774', '1776']","['-76.40302', '-83.04575']","['39.94677', '42.33143']"
"Winter, first lieutenant.",['1764'],['-75.16362'],['39.95238']
"Wolf, Peter, Mennonite minister.",['1802'],['-74.32432'],['41.40204']
"Wood, county judge.",['1803'],['-74.32432'],['41.40204']
"Wood, lawyer; Sandwich, Ont.",['1806'],['-73.26373'],['41.14121']
"Worbass, Peter.","['1754', '1755']","['-78.73031', '-75.99689']","['40.86173', '39.95483']"
"Worbass, Peter; Bethlehem.","['1753', '1754']","['-78.73031', '-78.73031']","['40.86173', '40.86173']"
"Wright, captain.",['1743'],['-73.59901'],['41.92815']
"Wutke, Samuel; Bethlehem.",['1750'],['-81.43428'],['40.3584']
"Yarrell, Thomas; New York.",['1754'],['-81.43428'],['40.3584']
"Zander, Wilhelm, missionary; Berbice.","['1749', '1749']","['-78.73031', '-81.43428']","['40.86173', '40.3584']"
"Zeisberger, David, Junior.",['1771'],['-93.16911'],['45.03913']
"Zeisberger, David, Moravian missionary","['1765', '1775', '1791', '1780', '1774', '1779', '1779', '1771', '1771', '1772', '1798', '1771', '1771', '1771', '1766', '1771', '1808', '1766', '1766', '1766', '1766', '1765', '1765', '1765', '1775', '1781', '1781', '1781', '1781', '1781', '1781', '1781', '1767', '1768', '1781', '1775', '1775', '1775', '1775', '1791', '1787', '1786', '1765', '1765', '1765', '1765', '1805', '1804', '1798', '1798', '1798', '1798', '1799', '1779', '1806', '1801', '1807', '1765', '1764', '1764', '1764', '1747', '1747', '1748', '1764', '1764', '1748', '1748', '1750', '1750', '1750', '1750', '1750', '1747', '1747', '1787', '1749', '1749', '1751', '1751', '1751', '1747', '1799', '1750', '1754', '1754', '1799', '1799', '1799', '1749', '1749', '1749', '1749', '1748', '1748', '1748', '1809', '1793', '1793', '1763', '1763', '1754', '1763', '1753', '1752', '1753', '1763', '1763', '1763', '1763', '1755', '1755', '1755', '1752', '1758', '1752', '1752', '1752', '1806', '1755', '1755', '1753', '1771', '1809', '1755', '1755', '1755', '1753', '1753', '1783', '1763', '1763', '1763', '1764', '1764', '1790', '1805', '1805', '1781', '1774', '1775', '1783', '1783', '1783', '1800', '1779', '1779', '1802', '1803', '1779', '1800', '1776', '1773', '1773', '1773', '1774', '1774', '1776', '1776', '1765', '1778']","['-76.26188', '-76.40302', '-83.04575', '-81.43428', '-81.43428', '-76.40302', '-76.40302', '-78.73031', '-78.73031', '-81.45623', '-73.26373', '-76.40302', '-78.73031', '-78.73031', '-76.72634', '-78.73031', '-86.26165', '-75.99689', '-75.99689', '-78.73031', '-76.26188', '-76.26188', '-78.73031', '-76.26188', '-78.73031', '-78.73031', '-83.04575', '-78.73031', '-78.73031', '-76.40302', '-76.40302', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-82.8413', '-78.73031', '-81.71235', '-76.26188', '-76.26188', '-75.59963', '-75.30962', '-75.16362', '-73.26373', '-73.26373', '-81.71235', '-83.04575', '-73.26373', '-81.43428', '-81.43428', '-81.31925', '-74.32432', '-76.82644', '-76.26188', '-78.73031', '-75.16362', '-76.26188', '-81.43428', '-81.43428', '-76.55885', '-74.13986', '-78.73031', '-76.55885', '-76.55885', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-86.98636', '-81.43428', '-76.55885', '-82.54906', '-78.73031', '-81.43428', '-81.43428', '-76.22077', '-78.73031', '-76.55885', '-73.26373', '-89.12368', '-76.55885', '-81.43428', '-87.74253', '-74.32432', '-73.26373', '-76.55885', '-81.43428', '-78.73031', '-76.55885', '-81.43428', '-105.63666', '-81.43428', '-73.26373', '-73.26373', '-73.26373', '-75.99689', '-78.73031', '-81.43428', '-75.16362', '-76.55885', '-76.55885', '-76.22077', '-75.99689', '-75.99689', '-75.16362', '-75.16362', '-78.73031', '-81.43428', '-105.63666', '-76.00492', '-78.73031', '-75.99689', '-81.43428', '-81.43428', '-73.38345', '-105.63666', '-76.55885', '-81.43428', '-76.40302', '-74.32432', '-81.43428', '-81.43428', '-75.99689', '-81.43428', '-75.99689', '-83.04575', '-75.16362', '-75.16362', '-78.73031', '-75.22907', '-74.85183', '-76.28268', '-87.74253', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-83.04575', '-78.73031', '-83.04575', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-74.32432', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-76.26188', '-76.40302']","['41.66813', '39.94677', '42.33143', '40.3584', '40.3584', '39.94677', '39.94677', '40.86173', '40.86173', '39.40924', '41.14121', '39.94677', '40.86173', '40.86173', '42.91896', '40.86173', '39.02116', '39.95483', '39.95483', '40.86173', '41.66813', '41.66813', '40.86173', '41.66813', '40.86173', '40.86173', '42.33143', '40.86173', '40.86173', '39.94677', '39.94677', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '41.47894', '40.86173', '41.50366', '41.66813', '41.66813', '41.94341', '40.74038', '39.95238', '41.14121', '41.14121', '41.50366', '42.33143', '41.14121', '40.3584', '40.3584', '35.03791', '41.40204', '44.49736', '41.66813', '40.86173', '39.95238', '41.66813', '40.3584', '40.3584', '40.78897', '40.56233', '40.86173', '40.78897', '40.78897', '40.86173', '40.3584', '40.86173', '40.3584', '45.27262', '40.3584', '40.78897', '41.3981', '40.86173', '40.3584', '40.3584', '41.05203', '40.86173', '40.78897', '41.14121', '37.13838', '40.78897', '40.3584', '38.41421', '41.40204', '41.14121', '40.78897', '40.3584', '40.86173', '40.78897', '40.3584', '41.47747', '40.3584', '41.14121', '41.14121', '41.14121', '39.95483', '40.86173', '40.3584', '39.95238', '40.78897', '40.78897', '41.05203', '39.95483', '39.95483', '39.95238', '39.95238', '40.86173', '40.3584', '41.47747', '41.20536', '40.86173', '39.95483', '40.3584', '40.3584', '41.3026', '41.47747', '40.78897', '40.3584', '39.94677', '41.40204', '40.3584', '40.3584', '39.95483', '40.3584', '39.95483', '42.33143', '39.95238', '39.95238', '40.86173', '39.88539', '40.10067', '45.43341', '38.41421', '40.3584', '40.3584', '40.3584', '40.3584', '42.33143', '40.86173', '42.33143', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '41.40204', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '41.66813', '39.94677']"
"Zeisberger, Susanna.","['1806', '1809', '1809', '1809', '1808', '1808', '1809']","['-73.38345', '-81.43428', '-81.43428', '-74.32432', '-81.43428', '-81.43428', '-76.3069']","['41.3026', '40.3584', '40.3584', '41.40204', '40.3584', '40.3584', '40.15732']"
"Ziegler, Curt Friedrich.",['1754'],['-81.43428'],['40.3584']
"Ziegler, David.","['1806', '1803']","['-84.51439', '-78.73031']","['39.12711', '40.86173']"
"Zinzendorf, Benigna, countess.",['1742'],['-73.59901'],['41.92815']
"Zinzendorf, Benigna.","['1742', '1747']","['-73.59901', '-81.43428']","['41.92815', '40.3584']"
"Zinzendorf, Nicolaus Ludwig Von.","['1742', '1742', '1755', '1746', '1746', '1745', '1798', '1744', '1742', '1743', '1743', '1742']","['-73.59901', '-78.73031', '10.44987', '-73.91264', '10.44987', '-105.63666', '-105.63666', '-73.59901', '-78.73031', '-73.59901', '-73.59901', '-73.59901']","['41.92815', '40.86173', '54.03573', '41.92676', '54.03573', '41.47747', '41.47747', '41.92815', '40.86173', '41.92815', '41.92815', '41.92815']"
Zinzendorf.,"['1754', '1754', '1747', '1755', '1748', '1755', '1755', '1749', '1752', '1764']","['-75.30962', '-73.59901', '-81.43428', '-75.92687', '-81.43428', '-75.92687', '-75.92687', '-81.43428', '-105.63666', '-73.59901']","['40.74038', '41.92815', '40.3584', '40.33565', '40.3584', '40.33565', '40.33565', '40.3584', '41.47747', '41.92815']"
